name	Handedness	Height	Weight	Batting Average	HR
Felix Millan	R	71	172	0.28	22
Steve Garvey	R	70	192	0.29	272
Don Mincher	L	75	205	0.25	200
Greg Erardi	R	73	190	0	0
Jim Farr	R	73	195	0	0
Tony Cloninger	R	72	210	0.19	11
Jim Gosger	L	71	185	0.23	30
Chuck Harrison	R	70	185	0.24	17
Mike Ivie	R	75	205	0.27	81
Frank Dimichele	R	75	205	0	0
Bob Veale	B	78	212	0.11	0
Marvell Wynne	L	71	175	0.25	40
Dusty Baker	R	74	183	0.28	242
Tucker Ashford	R	73	195	0.22	6
Ned Yost	R	73	190	0.21	16
Bob Stinson	B	71	180	0.25	33
Mike Warren	R	73	175	0	0
Gaylord Perry	R	76	205	0.13	6
Dave Marshall	L	73	182	0.25	16
Mickey Hatcher	R	74	200	0.28	38
Roger Repoz	L	75	190	0.22	82
Bill Fulton	R	75	195	0	0
John Orsino	R	75	215	0.25	40
Larry Anderson	R	75	190	0	0
Johnny Briggs	L	73	190	0.25	139
Craig Mitchell	R	75	180	0	0
Dave Hostetler	R	76	215	0.23	37
Bob Jones	L	74	195	0.22	20
Keith Hernandez	L	72	180	0.3	162
Alfredo Martinez	R	75	185	0	0
Dean Chance	R	75	200	0.07	0
Willie Upshaw	L	72	185	0.26	123
Dick Green	R	70	180	0.24	80
Dane Iorg	L	72	180	0.28	14
Richie Hebner	L	73	195	0.28	203
Fran Healy	R	77	220	0.25	20
Doc Edwards	R	74	215	0.24	15
Sandy Alomar	B	69	140	0.25	13
Joe Strain	R	70	169	0.25	1
Gene Richards	L	72	175	0.29	26
Buddy Bell	R	73	180	0.28	201
Al Woods	L	75	190	0.27	35
Rudy Law	L	73	165	0.27	18
Joel Davis	L	77	205	0	0
Jody Davis	R	76	192	0.25	127
Mike Edwards	R	70	154	0.25	2
Bill Mooneyham	R	72	175	0	0
John Hobbs	R	75	190	0	0
Deron Johnson	R	74	200	0.24	245
John Denny	R	75	185	0.17	0
Don Wert	R	70	162	0.24	77
Mike Fiore	L	72	175	0.23	13
Miguel Dilone	B	72	160	0.27	6
Greg Luzinski	R	73	220	0.28	307
Bobby Tolan	L	71	170	0.27	86
Karl Best	R	76	190	0	0
Steve Barr	L	76	200	0	0
Ron Woods	R	70	168	0.23	26
Tony Horton	R	75	210	0.27	76
Randy Hundley	R	71	170	0.24	82
Jose Tartabull	L	71	165	0.26	2
Ben Oglivie	L	74	160	0.27	235
Luis Sanchez	R	74	170	0	0
Bob Johnson	R	70	175	0.27	44
Don Buford	B	67	160	0.26	93
Duane Kuiper	L	72	175	0.27	1
Brant Alyea	R	75	215	0.25	38
Jerry Narron	L	75	205	0.21	21
Lou Johnson	R	71	170	0.26	48
Ken Retzer	L	72	185	0.26	14
Mike Brown	R	74	195	0.27	23
Mike Brown	R	74	195	0	0
Greg Walker	L	75	205	0.26	113
Terry Harper	R	76	195	0.25	36
Jerry Royster	R	72	165	0.25	40
Steve Davis	L	73	195	0	0
Jeff Rineer	L	76	205	0	0
Barry Bonnell	R	75	190	0.27	56
Tom Seaver	R	73	195	0.15	12
Jerry Martin	R	73	195	0.25	85
Bill Stein	R	70	170	0.27	44
Joel Youngblood	R	72	180	0.27	80
Reggie Jackson	L	72	195	0.26	563
Sonny Jackson	L	69	150	0.25	7
Mark Mercer	L	77	220	0	0
Rodney Scott	B	72	160	0.24	3
Rich Coggins	L	68	170	0.27	12
Phil Gagliano	R	73	180	0.24	14
Jerry McNertney	R	72	180	0.24	27
Mitchell Page	L	74	205	0.27	72
Kiko Garcia	R	71	180	0.24	12
Larry Milbourne	B	72	161	0.25	11
Bill Sudakis	B	73	190	0.23	59
John Caneira	R	75	180	0	0
Domingo Ramos	R	70	154	0.24	8
Ron Oester	B	74	185	0.27	42
Glenn Adams	L	73	180	0.28	34
Clint Zavaras	R	73	175	0	0
Joe Morgan	L	67	160	0.27	268
R.J. Reynolds	B	72	190	0.27	35
Mike Parrott	R	76	210	0	0
Lee Thomas	L	74	195	0.26	106
Ray Fosse	R	74	215	0.26	61
Paul Popovich	B	72	175	0.23	14
John Stephenson	L	71	180	0.22	12
Doug Clemens	L	72	180	0.23	12
Luis Aponte	R	72	185	0	0
Orlando Mercado	R	72	180	0.2	7
Charley Smith	R	73	170	0.24	69
Paul Boris	R	74	200	0	0
Buddy Biancalana	B	71	160	0.21	6
De Wayne Buice	R	72	170	0	0
Bob Uecker	R	73	190	0.2	14
Felix Torres	R	71	165	0.25	27
Steve Braun	L	70	180	0.27	52
Ray Knight	R	73	185	0.27	84
Ty Cline	L	72	170	0.24	6
Thad Bosley	L	75	175	0.27	20
Bobby Grich	R	74	180	0.27	224
Jimmie Hall	L	72	175	0.25	121
John Boccabella	R	73	195	0.22	26
Brock Davis	L	70	160	0.26	1
Mark Esser	R	73	190	0	0
Curt Blefary	L	74	195	0.24	112
Daryl Smith	R	76	185	0	0
Dave Smith	R	73	190	0	0
Mack Jones	L	73	180	0.25	133
Buddy Bradford	R	71	170	0.23	52
Hosken Powell	L	73	175	0.26	17
Dave Stapleton	L	73	185	0	0
Dave Stapleton	R	73	178	0.27	41
